predictor,outcome,r2
HCU_24C_AnsVal,HC_37_7,1
HCU_24C_AnsVal,HC_37_8,1
HCU_24C_AnsVal,HC_37_9,1
HCU_24C_AnsVal,HC_38_1,1
HCU_24C_AnsVal,HC_38_2,1
HCU_24C_AnsVal,HC_38_3,1
HCU_24C_AnsVal,HC_38_4,1
HCU_24C_AnsVal,HC_38_5,1
HCU_24C_AnsVal,HC_38_6,1
HCU_24C_AnsVal,HC_38_7,1
HCU_24C_AnsVal,HC_38_8,1
HCU_24C_AnsVal,HC_38_9,1
HCU_24C_AnsVal,HC_38_10,1
HCU_24C_AnsVal,HC_38_11,1
HCU_24C_AnsVal,HC_38_12,1
HCU_24C_AnsVal,HC_38_13,1
HCU_24C_AnsVal,HC_38_14,1
HCU_24C_AnsVal,HC_38_15,1
HCU_24C_AnsVal,HC_38_16,1
HCU_30_AnsText,HC_37_2,1
HCU_M_16,HC_37_8,1
HCU_M_17_AnsVal,HC_37_8,1
HCU_M_18_AnsVal,HC_37_8,1
KW_39-42_10,SF-36_3,1
KW_39-42_10,SF-36_4,1
KW_39-42_10,SF-36_5,1
KW_39-42_10,SF-36_6,1
KW_39-42_10,SF-36_7,1
KW_39-42_10,SF-36_9,1
KW_39-42_10,SF-36_10,1
KW_39-42_10,SF-36_11,1
KW_39-42_10,SF-36_12,1
KW_39-42_10,SF-36_13,1
KW_39-42_10,SF-36_14,1
KW_39-42_10,SF-36_15,1
KW_39-42_10,SF-36_16,1
KW_39-42_10,SF-36_17,1
KW_39-42_10,SF-36_18,1
KW_39-42_10,SF-36_19,1
KW_39-42_10,SF-36_23,1
KW_39-42_10,SF-36_24,1
KW_39-42_10,SF-36_25,1
KW_39-42_10,SF-36_26,1
KW_39-42_10,SF-36_27,1
KW_39-42_10,SF-36_28,1
KW_39-42_10,SF-36_29,1
KW_39-42_10,SF-36_30,1
KW_39-42_10,SF-36_31,1
KW_39-42_10,SF-36_34,1
KW_39-42_10,SF-36_35,1
KW_39-42_10,SF-36_36,1
KW_39-42_10,HC_37_1,1
KW_39-42_10,HC_37_2,1
KW_39-42_10,HC_37_3,1
KW_39-42_10,HC_37_4,1
KW_39-42_10,HC_37_5,1
KW_39-42_10,HC_37_6,1
KW_39-42_10,HC_37_7,1
KW_39-42_10,HC_37_8,1
KW_39-42_10,HC_37_9,1
KW_39-42_10,HC_38_1,1
KW_39-42_10,HC_38_2,1
KW_39-42_10,HC_38_3,1
KW_39-42_10,HC_38_4,1
KW_39-42_10,HC_38_5,1
KW_39-42_10,HC_38_6,1
KW_39-42_10,HC_38_7,1
KW_39-42_10,HC_38_8,1
KW_39-42_10,HC_38_9,1
KW_39-42_10,HC_38_10,1
KW_39-42_10,HC_38_11,1
KW_39-42_10,HC_38_12,1
KW_39-42_10,HC_38_13,1
KW_39-42_10,HC_38_14,1
KW_39-42_10,HC_38_15,1
KW_39-42_10,HC_38_16,1
KW_39-42_11,SF-36_3,1
KW_39-42_11,SF-36_4,1
KW_39-42_11,SF-36_5,1
KW_39-42_11,SF-36_6,1
KW_39-42_11,SF-36_7,1
KW_39-42_11,SF-36_9,1
KW_39-42_11,SF-36_10,1
KW_39-42_11,SF-36_11,1
KW_39-42_11,SF-36_12,1
KW_39-42_11,SF-36_13,1
KW_39-42_11,SF-36_14,1
KW_39-42_11,SF-36_15,1
KW_39-42_11,SF-36_16,1
KW_39-42_11,SF-36_17,1
KW_39-42_11,SF-36_18,1
KW_39-42_11,SF-36_19,1
KW_39-42_11,SF-36_23,1
KW_39-42_11,SF-36_24,1
KW_39-42_11,SF-36_25,1
KW_39-42_11,SF-36_26,1
KW_39-42_11,SF-36_27,1
KW_39-42_11,SF-36_28,1
KW_39-42_11,SF-36_29,1
KW_39-42_11,SF-36_30,1
KW_39-42_11,SF-36_31,1
KW_39-42_11,SF-36_34,1
KW_39-42_11,SF-36_35,1
KW_39-42_11,SF-36_36,1
KW_39-42_11,HC_37_1,1
KW_39-42_11,HC_37_2,1
KW_39-42_11,HC_37_3,1
KW_39-42_11,HC_37_4,1
KW_39-42_11,HC_37_5,1
KW_39-42_11,HC_37_6,1
KW_39-42_11,HC_37_7,1
KW_39-42_11,HC_37_8,1
KW_39-42_11,HC_37_9,1
